#itr,#feature,lrate,λ(+Rel),λ(-Rel),BPR-OPT,R(N=10),R(N=15),R(N=20),R(N=20),P(N=10),P(N=15),P(N=20),P(N=30)
2,2,0.09,0.0025,0.00025,-82255.3291768959,0.153846153846154,0.17620310723759,0.195149677908299,0.205759757483895,0.0153846153846154,0.0117468738158393,0.00975748389541493,0.00823039029935582
2,2,0.09,0.0035,0.00075,-71628.3708218571,0.136036377415688,0.161045850701023,0.186813186813187,0.200833649109511,0.0136036377415688,0.0107363900467349,0.00934065934065934,0.00803334596438045
2,2,0.09,0.0045,0.00125,-69383.9452582901,0.12353164077302,0.159151193633952,0.180371352785146,0.202728306176582,0.012353164077302,0.0106100795755968,0.00901856763925729,0.00810913224706328
2,2,0.09,0.0055,0.00175,-68546.6453303871,0.0962485790071997,0.129215611974233,0.157635467980296,0.178855627131489,0.00962485790071997,0.00861437413161551,0.00788177339901478,0.00715422508525957
