K	Recall
0.0025	0.0690789473684211
0.0105	0.0657894736842105
0.0185	0.0723684210526316
0.0265	0.0789473684210526
0.0345	0.0690789473684211
0.0425	0.0625
0.0505	0.0690789473684211
0.0585	0.0559210526315789
0.0665	0.0723684210526316
0.0745	0.0723684210526316
0.0825	0.0526315789473684
0.25 0.05263157894736840.25 0.07894736842105260.0025 00.0025 0.09473684210526320.0025 0.1052631578947370.0025 0.1333333333333330.0025 0.07719298245614040.0025 0.098245614035087710 0.084210526315789511 0.10526315789473710 0.08070175438596491 0.07368421052631582 0.1192982456140353 0.098245614035087710 0.10877192982456111 0.091228070175438612 0.10175438596491213 0.077192982456140414 0.077192982456140415 0.1052631578947376 0.07719298245614047 0.07719298245614048 0.122807017543869 0.08771929824561410 0.094736842105263211 0.10526315789473712 0.091228070175438613 0.08771929824561414 0.080701754385964915 0.101754385964912
