Epoch: 15, K: 0.0185,#Test: 285, #Hits: 35,Rl: 0.12280701754386, Pr: 0.0153508771929825
Epoch: 5, K: 0.0225,#Test: 285, #Hits: 28,Rl: 0.0982456140350877, Pr: 0.012280701754386
Epoch: 6, K: 0.0225,#Test: 285, #Hits: 32,Rl: 0.112280701754386, Pr: 0.0140350877192982
Epoch: 7, K: 0.0225,#Test: 285, #Hits: 32,Rl: 0.112280701754386, Pr: 0.0140350877192982
Epoch: 8, K: 0.0225,#Test: 285, #Hits: 32,Rl: 0.112280701754386, Pr: 0.0140350877192982
Epoch: 9, K: 0.0225,#Test: 285, #Hits: 28,Rl: 0.0982456140350877, Pr: 0.012280701754386
Epoch: 10, K: 0.0225,#Test: 285, #Hits: 37,Rl: 0.129824561403509, Pr: 0.0162280701754386
Epoch: 11, K: 0.0225,#Test: 285, #Hits: 35,Rl: 0.12280701754386, Pr: 0.0153508771929825
Epoch: 12, K: 0.0225,#Test: 285, #Hits: 28,Rl: 0.0982456140350877, Pr: 0.012280701754386
Epoch: 13, K: 0.0225,#Test: 285, #Hits: 25,Rl: 0.087719298245614, Pr: 0.0109649122807018
Epoch: 14, K: 0.0225,#Test: 285, #Hits: 28,Rl: 0.0982456140350877, Pr: 0.012280701754386
Epoch: 15, K: 0.0225,#Test: 285, #Hits: 25,Rl: 0.087719298245614, Pr: 0.0109649122807018
Epoch: 5, K: 0.0265,#Test: 285, #Hits: 28,Rl: 0.0982456140350877, Pr: 0.012280701754386
Epoch: 6, K: 0.0265,#Test: 285, #Hits: 33,Rl: 0.115789473684211, Pr: 0.0144736842105263
Epoch: 7, K: 0.0265,#Test: 285, #Hits: 28,Rl: 0.0982456140350877, Pr: 0.012280701754386
Epoch: 8, K: 0.0265,#Test: 285, #Hits: 31,Rl: 0.108771929824561, Pr: 0.0135964912280702
Epoch: 9, K: 0.0265,#Test: 285, #Hits: 35,Rl: 0.12280701754386, Pr: 0.0153508771929825
Epoch: 10, K: 0.0265,#Test: 285, #Hits: 28,Rl: 0.0982456140350877, Pr: 0.012280701754386
Epoch: 11, K: 0.0265,#Test: 285, #Hits: 33,Rl: 0.115789473684211, Pr: 0.0144736842105263
Epoch: 12, K: 0.0265,#Test: 285, #Hits: 35,Rl: 0.12280701754386, Pr: 0.0153508771929825
Epoch: 13, K: 0.0265,#Test: 285, #Hits: 28,Rl: 0.0982456140350877, Pr: 0.012280701754386
Epoch: 14, K: 0.0265,#Test: 285, #Hits: 33,Rl: 0.115789473684211, Pr: 0.0144736842105263
Epoch: 15, K: 0.0265,#Test: 285, #Hits: 32,Rl: 0.112280701754386, Pr: 0.0140350877192982
Epoch: 5, K: 0.0305,#Test: 285, #Hits: 26,Rl: 0.0912280701754386, Pr: 0.0114035087719298
Epoch: 6, K: 0.0305,#Test: 285, #Hits: 24,Rl: 0.0842105263157895, Pr: 0.0105263157894737
Epoch: 7, K: 0.0305,#Test: 285, #Hits: 35,Rl: 0.12280701754386, Pr: 0.0153508771929825
Epoch: 8, K: 0.0305,#Test: 285, #Hits: 30,Rl: 0.105263157894737, Pr: 0.0131578947368421
Epoch: 9, K: 0.0305,#Test: 285, #Hits: 32,Rl: 0.112280701754386, Pr: 0.0140350877192982
Epoch: 10, K: 0.0305,#Test: 285, #Hits: 23,Rl: 0.0807017543859649, Pr: 0.0100877192982456
Epoch: 11, K: 0.0305,#Test: 285, #Hits: 23,Rl: 0.0807017543859649, Pr: 0.0100877192982456
Epoch: 12, K: 0.0305,#Test: 285, #Hits: 26,Rl: 0.0912280701754386, Pr: 0.0114035087719298
Epoch: 13, K: 0.0305,#Test: 285, #Hits: 28,Rl: 0.0982456140350877, Pr: 0.012280701754386
Epoch: 14, K: 0.0305,#Test: 285, #Hits: 27,Rl: 0.0947368421052632, Pr: 0.0118421052631579
Epoch: 15, K: 0.0305,#Test: 285, #Hits: 27,Rl: 0.0947368421052632, Pr: 0.0118421052631579
Epoch: 5, K: 0.0345,#Test: 285, #Hits: 30,Rl: 0.105263157894737, Pr: 0.0131578947368421
