#itr,#feature,lrate,regSocial,regBias,regPostv,regNegtv,regUser,regItem,RMSE
32,10,0.005,0.002,0.8,0.8,2,1.54,0.88,1.091171563
33,10,0.005,0.002,0.8,0.8,2,1.54,0.99,1.0890415951
33,10,0.005,0.002,0.8,0.8,2,1.54,1.1,1.0870353004
33,10,0.005,0.002,0.8,0.8,2,1.54,1.21,1.0871721156
33,10,0.005,0.002,0.8,0.8,2,1.54,1.32,1.0857308603
33,10,0.005,0.002,0.8,0.8,2,1.54,1.43,1.0845842496
32,10,0.005,0.002,0.8,0.8,2,1.54,1.54,1.0830329571
33,10,0.005,0.002,0.8,0.8,2,1.54,1.65,1.0832018081
33,10,0.005,0.002,0.8,0.8,2,1.54,1.76,1.0784326474
33,10,0.005,0.002,0.8,0.8,2,1.54,1.87,1.080022501
33,10,0.005,0.002,0.8,0.8,2,1.54,1.98,1.0790778037
32,10,0.005,0.002,0.8,0.8,2,1.65,0.77,1.0930734022
33,10,0.005,0.002,0.8,0.8,2,1.65,0.88,1.0890864344
33,10,0.005,0.002,0.8,0.8,2,1.65,0.99,1.0897391242
33,10,0.005,0.002,0.8,0.8,2,1.65,1.1,1.0874712723
33,10,0.005,0.002,0.8,0.8,2,1.65,1.21,1.0839119757
32,10,0.005,0.002,0.8,0.8,2,1.65,1.32,1.0859298653
33,10,0.005,0.002,0.8,0.8,2,1.65,1.43,1.0835163746
33,10,0.005,0.002,0.8,0.8,2,1.65,1.54,1.0835524843
33,10,0.005,0.002,0.8,0.8,2,1.65,1.65,1.0815445206
32,10,0.005,0.002,0.8,0.8,2,1.65,1.76,1.0804355044
33,10,0.005,0.002,0.8,0.8,2,1.65,1.87,1.0806746122
32,10,0.005,0.002,0.8,0.8,2,1.65,1.98,1.0788295248
32,10,0.005,0.002,0.8,0.8,2,1.76,0.77,1.088855365
33,10,0.005,0.002,0.8,0.8,2,1.76,0.88,1.0871827999
33,10,0.005,0.002,0.8,0.8,2,1.76,0.99,1.0873967158
33,10,0.005,0.002,0.8,0.8,2,1.76,1.1,1.0864104618
32,10,0.005,0.002,0.8,0.8,2,1.76,1.21,1.086747869
32,10,0.005,0.002,0.8,0.8,2,1.76,1.32,1.0849655175
33,10,0.005,0.002,0.8,0.8,2,1.76,1.43,1.0849387149
32,10,0.005,0.002,0.8,0.8,2,1.76,1.54,1.0818332485
33,10,0.005,0.002,0.8,0.8,2,1.76,1.65,1.0816391551
33,10,0.005,0.002,0.8,0.8,2,1.76,1.76,1.0803065564
33,10,0.005,0.002,0.8,0.8,2,1.76,1.87,1.0785429146
33,10,0.005,0.002,0.8,0.8,2,1.76,1.98,1.0786171625
33,10,0.005,0.002,0.8,0.8,2,1.87,0.77,1.0865990869
33,10,0.005,0.002,0.8,0.8,2,1.87,0.88,1.0873624108
33,10,0.005,0.002,0.8,0.8,2,1.87,0.99,1.0854066543
33,10,0.005,0.002,0.8,0.8,2,1.87,1.1,1.0850799721
33,10,0.005,0.002,0.8,0.8,2,1.87,1.21,1.0829543145
33,10,0.005,0.002,0.8,0.8,2,1.87,1.32,1.0824722465
33,10,0.005,0.002,0.8,0.8,2,1.87,1.43,1.0829693046
33,10,0.005,0.002,0.8,0.8,2,1.87,1.54,1.081835065
33,10,0.005,0.002,0.8,0.8,2,1.87,1.65,1.0787311698
33,10,0.005,0.002,0.8,0.8,2,1.87,1.76,1.0781854926
33,10,0.005,0.002,0.8,0.8,2,1.87,1.87,1.0791460541
32,10,0.005,0.002,0.8,0.8,2,1.87,1.98,1.0779268429
33,10,0.005,0.002,0.8,0.8,2,1.98,0.77,1.0851474625
33,10,0.005,0.002,0.8,0.8,2,1.98,0.88,1.0873779852
33,10,0.005,0.002,0.8,0.8,2,1.98,0.99,1.0844689266
32,10,0.005,0.002,0.8,0.8,2,1.98,1.1,1.0849433559
33,10,0.005,0.002,0.8,0.8,2,1.98,1.21,1.0844673543
32,10,0.005,0.002,0.8,0.8,2,1.98,1.32,1.0808013897
33,10,0.005,0.002,0.8,0.8,2,1.98,1.43,1.0809700138
33,10,0.005,0.002,0.8,0.8,2,1.98,1.54,1.0794570025
32,10,0.005,0.002,0.8,0.8,2,1.98,1.65,1.0795596406
32,10,0.005,0.002,0.8,0.8,2,1.98,1.76,1.0780958123
32,10,0.005,0.002,0.8,0.8,2,1.98,1.87,1.0800079225
32,10,0.005,0.002,0.8,0.8,2,1.98,1.98,1.076375934
33,10,0.005,0.002,0.8,0.8,3,0.77,0.77,1.1004431074
32,10,0.005,0.002,0.8,0.8,3,0.77,0.88,1.0988877596
33,10,0.005,0.002,0.8,0.8,3,0.77,0.99,1.0980886342
32,10,0.005,0.002,0.8,0.8,3,0.77,1.1,1.0974093071
33,10,0.005,0.002,0.8,0.8,3,0.77,1.21,1.0949828381
33,10,0.005,0.002,0.8,0.8,3,0.77,1.32,1.0930054392
33,10,0.005,0.002,0.8,0.8,3,0.77,1.43,1.0936218831
33,10,0.005,0.002,0.8,0.8,3,0.77,1.54,1.0929442446
32,10,0.005,0.002,0.8,0.8,3,0.77,1.65,1.0931944186
33,10,0.005,0.002,0.8,0.8,3,0.77,1.76,1.0901275373
32,10,0.005,0.002,0.8,0.8,3,0.77,1.87,1.0891536858
33,10,0.005,0.002,0.8,0.8,3,0.77,1.98,1.0875182552
32,10,0.005,0.002,0.8,0.8,3,0.88,0.77,1.1016235449
32,10,0.005,0.002,0.8,0.8,3,0.88,0.88,1.0999710336
33,10,0.005,0.002,0.8,0.8,3,0.88,0.99,1.0978711453
33,10,0.005,0.002,0.8,0.8,3,0.88,1.1,1.0972440325
33,10,0.005,0.002,0.8,0.8,3,0.88,1.21,1.0935901767
33,10,0.005,0.002,0.8,0.8,3,0.88,1.32,1.092839809
32,10,0.005,0.002,0.8,0.8,3,0.88,1.43,1.0910757092
33,10,0.005,0.002,0.8,0.8,3,0.88,1.54,1.0879355492
33,10,0.005,0.002,0.8,0.8,3,0.88,1.65,1.0872917949
32,10,0.005,0.002,0.8,0.8,3,0.88,1.76,1.0891565756
33,10,0.005,0.002,0.8,0.8,3,0.88,1.87,1.0882415148
33,10,0.005,0.002,0.8,0.8,3,0.88,1.98,1.0867264547
32,10,0.005,0.002,0.8,0.8,3,0.99,0.77,1.0971479738
32,10,0.005,0.002,0.8,0.8,3,0.99,0.88,1.0969785924
32,10,0.005,0.002,0.8,0.8,3,0.99,0.99,1.0970002674
32,10,0.005,0.002,0.8,0.8,3,0.99,1.1,1.0953003559
33,10,0.005,0.002,0.8,0.8,3,0.99,1.21,1.0923083153
33,10,0.005,0.002,0.8,0.8,3,0.99,1.32,1.0911954705
33,10,0.005,0.002,0.8,0.8,3,0.99,1.43,1.0923117136
33,10,0.005,0.002,0.8,0.8,3,0.99,1.54,1.0886968448
32,10,0.005,0.002,0.8,0.8,3,0.99,1.65,1.0871983209
32,10,0.005,0.002,0.8,0.8,3,0.99,1.76,1.0873863453
32,10,0.005,0.002,0.8,0.8,3,0.99,1.87,1.0857344267
33,10,0.005,0.002,0.8,0.8,3,0.99,1.98,1.0863518101
33,10,0.005,0.002,0.8,0.8,3,1.1,0.77,1.0974235172
32,10,0.005,0.002,0.8,0.8,3,1.1,0.88,1.0979298569
33,10,0.005,0.002,0.8,0.8,3,1.1,0.99,1.0955296026
32,10,0.005,0.002,0.8,0.8,3,1.1,1.1,1.0943123459
33,10,0.005,0.002,0.8,0.8,3,1.1,1.21,1.092080808
33,10,0.005,0.002,0.8,0.8,3,1.1,1.32,1.0905787142
33,10,0.005,0.002,0.8,0.8,3,1.1,1.43,1.0910038658
33,10,0.005,0.002,0.8,0.8,3,1.1,1.54,1.086883599
33,10,0.005,0.002,0.8,0.8,3,1.1,1.65,1.0857814591
32,10,0.005,0.002,0.8,0.8,3,1.1,1.76,1.085770305
33,10,0.005,0.002,0.8,0.8,3,1.1,1.87,1.0833575175
33,10,0.005,0.002,0.8,0.8,3,1.1,1.98,1.085043744
33,10,0.005,0.002,0.8,0.8,3,1.21,0.77,1.0975965334
33,10,0.005,0.002,0.8,0.8,3,1.21,0.88,1.0946156637
33,10,0.005,0.002,0.8,0.8,3,1.21,0.99,1.0928856557
33,10,0.005,0.002,0.8,0.8,3,1.21,1.1,1.0904839766
33,10,0.005,0.002,0.8,0.8,3,1.21,1.21,1.0939836735
33,10,0.005,0.002,0.8,0.8,3,1.21,1.32,1.0885565081
33,10,0.005,0.002,0.8,0.8,3,1.21,1.43,1.0883971749
34,10,0.005,0.002,0.8,0.8,3,1.21,1.54,1.0871481298
33,10,0.005,0.002,0.8,0.8,3,1.21,1.65,1.0851100026
33,10,0.005,0.002,0.8,0.8,3,1.21,1.76,1.0838326496
33,10,0.005,0.002,0.8,0.8,3,1.21,1.87,1.084683746
33,10,0.005,0.002,0.8,0.8,3,1.21,1.98,1.0838907119
33,10,0.005,0.002,0.8,0.8,3,1.32,0.77,1.0940697411
33,10,0.005,0.002,0.8,0.8,3,1.32,0.88,1.0946507803
34,10,0.005,0.002,0.8,0.8,3,1.32,0.99,1.0911499759
32,10,0.005,0.002,0.8,0.8,3,1.32,1.1,1.0912479921
32,10,0.005,0.002,0.8,0.8,3,1.32,1.21,1.0904446006
33,10,0.005,0.002,0.8,0.8,3,1.32,1.32,1.0870222903
33,10,0.005,0.002,0.8,0.8,3,1.32,1.43,1.0863064583
33,10,0.005,0.002,0.8,0.8,3,1.32,1.54,1.0857199605
33,10,0.005,0.002,0.8,0.8,3,1.32,1.65,1.0845630617
33,10,0.005,0.002,0.8,0.8,3,1.32,1.76,1.0820845653
33,10,0.005,0.002,0.8,0.8,3,1.32,1.87,1.0816982975
33,10,0.005,0.002,0.8,0.8,3,1.32,1.98,1.0815163267
33,10,0.005,0.002,0.8,0.8,3,1.43,0.77,1.0939362656
33,10,0.005,0.002,0.8,0.8,3,1.43,0.88,1.0902143175
33,10,0.005,0.002,0.8,0.8,3,1.43,0.99,1.0910203894
33,10,0.005,0.002,0.8,0.8,3,1.43,1.1,1.0894376802
33,10,0.005,0.002,0.8,0.8,3,1.43,1.21,1.0899213877
33,10,0.005,0.002,0.8,0.8,3,1.43,1.32,1.08690587
33,10,0.005,0.002,0.8,0.8,3,1.43,1.43,1.0859676902
33,10,0.005,0.002,0.8,0.8,3,1.43,1.54,1.0837315347
32,10,0.005,0.002,0.8,0.8,3,1.43,1.65,1.0837945161
32,10,0.005,0.002,0.8,0.8,3,1.43,1.76,1.0835963827
33,10,0.005,0.002,0.8,0.8,3,1.43,1.87,1.0810382788
32,10,0.005,0.002,0.8,0.8,3,1.43,1.98,1.0814174551
33,10,0.005,0.002,0.8,0.8,3,1.54,0.77,1.0916951336
33,10,0.005,0.002,0.8,0.8,3,1.54,0.88,1.089143202
33,10,0.005,0.002,0.8,0.8,3,1.54,0.99,1.0898644275
