#itr,#feature,lrate,regSocial,regBias,regPostv,regNegtv,regUser,regItem,RMSE(X),BPTOPT(Y),RMSE(XY),Prec[5],Prec[10],Recl[5],Recl[10]
1,10,0.001,0.7,0.77,0.015,0.019,0.015,0.019,0.418568032326551,-44594.0172806875,2.22737459844654
2,10,0.001,0.7,0.77,0.015,0.019,0.0177041611017995,0.0217305774297606,0.454701129728788,-42632.741547998,2.21036092699657
3,10,0.001,0.7,0.77,0.015,0.019,0.0200085359141868,0.0240945232511813,0.496879510370384,-41160.3591862424,2.19012649602217
4,10,0.001,0.7,0.77,0.015,0.019,0.0219316854839461,0.0261220876494421,0.542780149444335,-39739.1159290531,2.16735094941782
5,10,0.001,0.7,0.77,0.015,0.019,0.0235002278349677,0.0278510041008647,0.589167671091364,-38670.2353927482,2.14296087833573
6,10,0.001,0.7,0.77,0.015,0.019,0.0247417042966269,0.0293140662116016,0.633961651578864,-37700.0506513241,2.11729192257162
7,10,0.001,0.7,0.77,0.015,0.019,0.025681953982729,0.0305374362359814,0.676505340801186,-36669.3249906273,2.09029714103224
8,10,0.001,0.7,0.77,0.015,0.019,0.0263449460952567,0.0315438644303267,0.716175228073908,-36037.386100621,2.06236021049691
9,10,0.001,0.7,0.77,0.015,0.019,0.0267537652140276,0.0323542101169279,0.752450568013878,-35595.2946505036,2.0338670797074
10,10,0.001,0.7,0.77,0.015,0.019,0.0269288405597915,0.0329843971195803,0.785464514654277,-34958.0316065492,2.00483876663635
11,10,0.001,0.7,0.77,0.015,0.019,0.0268872323809647,0.0334453657088702,0.815628186262414,-34481.8139160429,1.97532684867103
12,10,0.001,0.7,0.77,0.015,0.019,0.0266450685755544,0.0337471070302474,0.842967042674446,-34216.0089502201,1.94546204606156
13,10,0.001,0.7,0.77,0.015,0.019,0.0262179672575825,0.0338990967573075,0.867489313900926,-33720.8073286646,1.91508076448009
14,10,0.001,0.7,0.77,0.015,0.019,0.0256197123677356,0.0339094442077138,0.889203615453044,-33432.1324484328,1.88445715984336
15,10,0.001,0.7,0.77,0.015,0.019,0.0248664085488878,0.033788498403319,0.908030773001708,-33135.262953228,1.85351392131098
16,10,0.001,0.7,0.77,0.015,0.019,0.0239724350986135,0.0335450282802898,0.924046390240555,-32910.7429106027,1.82253869081935
17,10,0.001,0.7,0.77,0.015,0.019,0.0229515842345135,0.0331874786635532,0.93729871097719,-32665.2476570755,1.79164084608256
18,10,0.001,0.7,0.77,0.015,0.019,0.0218189169174488,0.0327250705351619,0.948000032274775,-32463.5489470591,1.76098243243853
19,10,0.001,0.7,0.77,0.015,0.019,0.0205876053722779,0.0321654280874234,0.956194007309825,-32494.6908536692,1.7306134102506
20,10,0.001,0.7,0.77,0.015,0.019,0.0192700781779767,0.0315157691713759,0.962042590513234,-32355.998290595,1.70061026802371
21,10,0.001,0.7,0.77,0.015,0.019,0.0178775579703892,0.0307823357835372,0.965743276395206,-32197.5697284196,1.6710675468135
22,10,0.001,0.7,0.77,0.015,0.019,0.0164218472802235,0.0299718597207234,0.967530317612649,-32180.2159287871,1.64192418654633
23,10,0.001,0.7,0.77,0.015,0.019,0.0149127928340615,0.0290899866904358,0.967450385660211,-31789.5334569722,1.61335022381401
24,10,0.001,0.7,0.77,0.015,0.019,0.0133616212717783,0.0281434210184263,0.96591428920711,-31907.8768436728,1.58526511807525
25,10,0.001,0.7,0.77,0.015,0.019,0.0117773277451463,0.0271372423740373,0.963108614215342,-31765.4289324605,1.5577396917092
26,10,0.001,0.7,0.77,0.015,0.019,0.0101690681652569,0.0260772241757319,0.959219217858183,-31704.2738167371,1.53092626933487
27,10,0.001,0.7,0.77,0.015,0.019,0.00854537011145878,0.024968793597935,0.954336062347902,-31607.6975665031,1.50480667298167
28,10,0.001,0.7,0.77,0.015,0.019,0.0069142334433678,0.0238170053575198,0.948644757025646,-31420.274072895,1.47947392022158
29,10,0.001,0.7,0.77,0.015,0.019,0.00528300798930486,0.0226267452592537,0.942305631643778,-31420.9789538515,1.4549596132977
30,10,0.001,0.7,0.77,0.015,0.019,0.00365742903299758,0.0214018347627884,0.935457354938619,-31452.4267425643,1.43126099910699
31,10,0.001,0.7,0.77,0.015,0.019,0.00204353133518579,0.0201464031428342,0.928098866698136,-31135.2229147427,1.40843563922622
32,10,0.001,0.7,0.77,0.015,0.019,0.000447256269472373,0.0188647050836626,0.920488973219214,-31377.7673453023,1.38650960876667
33,10,0.001,0.7,0.77,0.015,0.019,-0.00112686586620519,0.0175599739991106,0.912603173930495,-31247.1532113328,1.36555737822507
34,10,0.001,0.7,0.77,0.015,0.019,-0.00267447179817781,0.0162354184716346,0.904588653525651,-31115.6080400659,1.34549204474687
35,10,0.001,0.7,0.77,0.015,0.019,-0.00419135205464953,0.0148941464648701,0.896508923802208,-30994.4774265149,1.32642285939189
36,10,0.001,0.7,0.77,0.015,0.019,-0.00567420712837007,0.0135388415854573,0.888454859305091,-30971.8718945619,1.30822473837602
37,10,0.001,0.7,0.77,0.015,0.019,-0.00711956341488538,0.0121722253516185,0.88051237315082,-30888.6899601582,1.29075460433981
38,10,0.001,0.7,0.77,0.015,0.019,-0.00852572532268316,0.0107956910975998,0.872692833012408,-30740.5908111779,1.27412612680508
39,10,0.001,0.7,0.77,0.015,0.019,-0.00988915523117917,0.0094122080649904,0.865037150022167,-30640.6086060795,1.25838705165339
40,10,0.001,0.7,0.77,0.015,0.019,-0.01120916540944,0.00802245767607342,0.857595226110716,-30572.8686715046,1.24333575088047
